dayofweek,hour,age,numscreens,minigame,liked,used_premium_feature
3,2,23,15,0,0,0
6,1,24,13,0,0,0
1,19,23,3,0,1,1
4,16,28,40,0,0,0
1,18,31,32,0,1,0
2,9,20,14,0,0,0
1,2,35,3,0,0,0
1,3,26,41,0,0,1
2,14,29,33,1,0,1
4,18,26,19,0,0,0
1,4,39,14,0,0,0
1,11,32,25,1,0,1
0,6,25,11,0,0,0
5,19,23,4,0,0,0
0,4,17,9,0,0,0
5,18,25,26,1,0,0
6,16,21,6,0,0,0
5,21,55,20,0,0,0
4,5,32,15,0,1,0
5,17,25,5,0,0,0
4,9,28,8,0,0,1
5,4,38,42,0,0,1
5,17,31,9,1,0,0
6,2,27,42,0,1,0
6,20,48,1,1,0,0
6,18,37,38,0,0,0
0,16,22,49,1,0,0
2,1,35,35,0,0,0
1,11,32,19,0,0,1
5,17,20,10,0,0,0
5,0,23,52,0,0,0
2,2,25,50,0,1,0
6,20,23,76,0,0,0
0,4,31,37,0,0,0
0,18,26,16,1,0,0
3,21,21,32,0,0,0
5,22,36,47,0,0,0
3,16,24,16,0,0,0
6,22,25,40,0,0,0
0,10,23,33,0,0,0
1,6,25,90,0,0,0
1,8,23,13,0,0,1
1,8,25,24,0,0,0
0,0,25,45,0,1,1
2,15,21,20,0,1,0
1,2,30,31,0,0,0
4,14,58,45,0,0,0
5,0,26,24,0,0,0
4,13,40,16,0,0,0
4,20,24,39,0,0,1
5,8,26,17,0,0,0
2,4,33,28,0,1,1
1,19,21,27,0,0,0
0,2,21,10,0,0,0
4,3,57,11,0,0,0
1,4,22,19,0,0,0
0,15,23,39,0,0,0
3,19,20,57,0,0,0
1,2,31,27,0,0,0
0,20,24,23,0,1,0
5,22,27,4,0,0,0
0,22,33,21,0,0,0
4,17,48,12,1,0,0
6,17,32,38,0,0,0
6,23,31,17,0,0,0
6,19,24,16,1,0,1
2,13,19,7,0,0,0
4,5,37,41,0,0,0
6,10,37,13,0,0,0
4,6,45,39,0,1,0
6,23,34,7,0,0,0
4,12,38,14,0,1,0
1,21,46,18,0,1,0
0,1,22,8,0,0,0
2,19,19,27,0,0,0
4,7,28,52,0,1,0
6,14,35,48,1,0,0
6,16,28,32,0,0,0
3,3,22,11,0,0,0
6,2,21,16,0,0,0
0,19,25,28,0,0,0
1,3,23,29,0,0,0
5,20,32,24,0,0,0
4,2,34,21,0,0,0
6,6,24,136,1,0,0
2,19,25,10,0,0,0
0,5,31,41,0,0,0
2,16,27,28,0,0,1
6,23,17,5,0,1,0
1,16,35,13,0,0,0
5,15,26,11,0,1,0
6,8,27,8,0,1,1
3,18,20,18,0,0,0
5,4,30,47,0,0,0
1,4,23,47,0,0,0
1,21,56,13,1,0,0
2,21,19,11,0,0,1
2,18,42,21,0,0,1
6,19,24,7,0,0,0
6,5,30,7,0,0,0
2,19,17,20,0,0,0
1,14,30,18,0,1,0
2,21,34,16,0,0,1
4,22,37,4,0,0,0
1,10,27,34,0,0,0
5,6,19,16,0,0,0
4,7,25,40,0,0,0
6,11,20,1,1,0,0
3,2,34,15,0,0,0
